Localidades islas,,,,,,,
Marco Geoestadístico 2024,,,,,,,
CVE_ENT,CVE_MUN,CVE_AGEB,CVE_LOC,NOMLOC,cve_ent_1,cve_mun_1,NOMGEO
07,089,0297,1018,Dorados de Villa,07,054,Mazatán
07,103,0014,0215,Villa Hidalgo,07,089,Tapachula
07,057,0062,0575,La Ceiba,07,103,Tuzantán
20,453,0018,0011,Barra de la Cruz,20,307,San Pedro Huamelula
07,097,0212,1527,"Isla, Mar y Tierra",07,069,Pijijiapan
20,453,0018,0012,Zimatán,20,307,San Pedro Huamelula
20,324,0190,0238,Unión de Guerrero,20,253,San Mateo Piñas
20,324,0190,0237,San Pedro Cafetitlán,20,253,San Mateo Piñas
20,526,004A,0101,San Isidro Campechero,20,334,Villa de Tututepec
20,324,0010,0235,Los Naranjos Esquipulas,20,306,San Pedro el Alto
20,291,0037,0007,La Soledad el Tamarindo,20,344,San Sebastián Coatlán
20,266,0015,0121,Santa Catarina Jamixtepec,20,125,San Carlos Yautepec
20,211,0021,0018,Cerro de Olla,20,266,San Miguel del Puerto
20,143,0049,0063,Cachimbo,20,141,San Francisco del Mar
20,154,0019,0005,El Extebe,20,347,San Sebastián Río Hondo
07,083,0081,0197,Tierra y Libertad,07,104,Tzimol
07,083,0081,0210,San Pedro Pedernal,07,104,Tzimol
20,154,0019,0013,La Paz Xanaguía,20,347,San Sebastián Río Hondo
20,364,0020,0109,San Lucas el Vidrio,20,202,San Juan Lachao
20,059,0081,0115,Sitio de Lachidoblas,20,347,San Sebastián Río Hondo
20,154,0019,0003,La Reforma,20,347,San Sebastián Río Hondo
20,213,0030,0035,Atrás del Peñasco,20,272,San Miguel Panixtlahuaca
20,059,0081,0114,Santa María el Palmar,20,154,San Ildefonso Amatlán
07,083,0043,0205,Nueva Esperanza,07,104,Tzimol
07,041,0128,0572,Santa Martha,07,099,La Trinitaria
20,141,0114,0106,Puerto Grande,20,143,San Francisco Ixhuatán
20,141,0114,0099,Santa Rita,20,143,San Francisco Ixhuatán
20,141,0044,0100,El Vergel del Maíz,20,143,San Francisco Ixhuatán
20,141,0044,0085,Colonia Villanueva,20,143,San Francisco Ixhuatán
20,188,0017,0020,La Soledad,20,082,San Agustín Chayuco
20,028,0066,0042,La Escalera,20,015,Coatecas Altas
20,043,0202,0152,Colonia San Isidro,20,441,Santa María Xadani
07,052,023A,0335,San Mateo Zapotal,07,115,Maravilla Tenejapa
20,043,0185,0153,Colonia San Vicente,20,441,Santa María Xadani
12,023,0262,0220,Rancho Mario Navarrete,12,013,Azoyú
20,061,0018,0002,Santa María Velató,20,015,Coatecas Altas
07,052,0329,0464,San Rafael,07,041,La Independencia
07,052,0333,0869,La Esmeralda de los Cipreses,07,041,La Independencia
07,052,030A,0312,Santa Margarita Agua Azul,07,115,Maravilla Tenejapa
07,041,0062,0566,El Porvenir,07,052,Las Margaritas
12,025,0197,0031,Estero del Marquez (Cachumbo),12,030,Florencio Villarreal
12,018,0065,0068,La Loma del Chivo,12,025,Cuautepec
12,025,0182,0039,La Ceiba,12,018,Copala
20,420,0017,0009,Rincón Hacienda Vieja,20,535,San Vicente Lachixío
12,036,0082,0031,El Mango,12,013,Azoyú
07,075,0056,0036,San Mateo,07,019,Comitán de Domínguez
20,420,0017,0010,Loma Larga,20,535,San Vicente Lachixío
12,025,0197,0051,La Soledad,12,030,Florencio Villarreal
12,036,0082,0008,La Reforma,12,013,Azoyú
12,077,0070,0021,Las Palmas,12,013,Azoyú
07,059,0917,2054,Emiliano Zapata,07,052,Las Margaritas
12,001,2045,0493,La Arena,12,053,San Marcos
12,001,2045,0242,Bella Vista Papagayo,12,053,San Marcos
12,062,028A,0064,El Aguacate (Camino a Xochistlahuaca),12,046,Ometepec
12,001,1992,0694,Rancho el Tamarindillo,12,053,San Marcos
12,062,028A,0128,El Mesón,12,046,Ometepec
12,071,026A,0125,Rancho las Tortolitas,12,046,Ometepec
20,088,0045,0018,El Limón,20,447,Santa María Zacatepec
20,200,0032,0013,El Zapote,20,064,Nejapa de Madero
20,570,0226,0096,San José Guelatová de Díaz,20,387,Santa Gertrudis
20,570,0226,0095,La Santa Cruz,20,295,San Pablo Huixtepec
20,073,0080,0116,El Carrizal de Galeana,20,088,San Andrés Cabecera Nueva
07,052,0136,0902,Victórico R. Grajales,07,004,Altamirano
20,273,001A,0014,El Tecolote,20,108,San Antonio Huitepec
12,062,0256,0100,Piedra Blanca,12,043,Metlatónoc
20,123,0027,0003,San Jerónimo Tititlán,20,570,Zimatlán de Álvarez
