Localidades rurales que rebasan AGEB,,,,
Marco Geoestadístico 2024,,,,
CVE_ENT,CVE_MUN,CVE_LOC,NOMLOC,CVE_AGEB
01,001,0120,Buenavista de Peñuelas,1250
01,001,0170,Cuauhtémoc (Las Palomas),1246
01,001,1178,Granjas Fátima,1138
01,001,1184,Parque Industrial de Logística Automotriz (PILA),1246
01,001,2050,Cumbres III,1903
01,001,2379,Edén los Sabinos,1123
01,001,2401,San Joaquín,1123
01,001,2416,Bosques de las Lomas [Fraccionamiento Campestre],1123
01,001,2464,Parque Industrial FINSA,1138
01,001,2469,Parque Industrial Douki Seisan Park (DSP),1763
01,002,0030,Lázaro Cárdenas,0033
01,002,0034,Las Negritas,0067
01,003,0110,Crucero las Pilas,0100
01,003,0128,Jardines de San Isidro (Colonia Limón),0064
01,003,0398,San José,0100
01,004,0030,El Salero,0038
01,005,0017,El Cenizo,0035
01,005,0019,Cieneguitas,0073
01,005,0060,Pedernal Primero,004A
01,005,0080,El Refugio,0035
01,005,0126,El Aurero,0016
01,005,0345,Cartuja Residencial,0016
01,006,0005,Gámez Orozco (Puerta de Carboneras) [Colonia],0013
01,006,0249,San Agustín de los Puentes,0047
01,006,0264,Ejido el Mezquite (Ojo de Agua del Mezquite),0013
01,008,0023,San Antonio de los Ríos,0145
01,009,0008,Carboneras,0034
01,009,0019,El Porvenir,002A
01,010,0041,Lomas del Refugio (La Loma),011A
01,010,0049,El Milagro,0054
01,010,0074,El Retoño,011A
01,010,0101,Santa Elena,0092
01,010,0124,La Unión (La Paz),0105
01,011,0051,La Providencia,009A
01,011,0053,Puertecito de la Virgen,0102
02,001,1266,San Antonio Necua (Cañada de los Encinos),6218
02,001,1654,Poblado Puerta Trampa,6330
02,001,2142,Buena Vista,6237
02,001,3381,Ejido el Ajusco,6557
02,001,3815,Parcela Número Doscientos Treinta y Uno (Rancho el Refugio del Viejo),6472
02,001,4068,San Carlos (Ejido Nacionalista),6472
02,001,4635,Colonia Esperanza (Cañón San Carlos),6472
02,001,5037,Colinas del Pedregal,6538
02,001,5147,Francisco Villa,6542
02,002,0158,Ejido Chihuahua,355A
02,002,0186,Ejido Guanajuato,3456
02,002,0211,Ejido Lázaro Cárdenas (La Mosca),3494
02,002,0212,Poblado Lázaro Cárdenas (La Veintiocho),3579
02,002,0255,Colonia Pescaderos (Campo la Catorce),3579
02,002,0258,Ejido Plan de Ayala,3672
02,002,0311,Colonia José María Rodríguez Mérida (La Panga),3511
02,002,0327,Ejido Netzahualcóyotl,3460
02,002,0516,Represa Aurelio Benansini (Carehey),3460
02,002,1369,Colonia Miguel Alemán,3507
02,002,1653,La División (Colonia Venustiano Carranza),3653
02,002,1975,Colonia la 27 (Campamento SARH Kilómetro Veintisiete),3511
02,002,4747,Los Manantiales,3371
02,002,4791,Lomas de Mexicali,3437
02,002,4926,Las Campiñas,3460
02,002,4951,Crepúsculo de la Progreso,3352
02,003,0107,La Rumorosa,0726
02,003,0139,Valle de las Palmas,082A
02,003,0168,Ciénega Redonda,0764
02,003,0899,Rancho Tecate,0745
02,003,0933,Loma Tova,0707
02,003,0934,Ejido Encinal,0711
02,003,1102,Desarrollo Hacienda Burócratas,0779
02,004,1961,Ley del Servicio Civil,5029
02,005,0025,Santa Anita,0063
02,005,0218,Los Volcanes,0044
02,006,0087,Colonia Vista al Mar,1001
02,006,0128,Ejido Zarahemla,093A
02,006,0628,Nuevo Centro de Población Padre Kino,0959
02,006,0825,Santa Fe [Rancho],093A
02,006,0858,Valle Dorado,0978
02,006,0865,Villa San Sebastián,0978
02,007,0202,Playa de Oro,027A
02,007,0203,Playa del Sol,027A
03,001,0379,Villa Hidalgo,2559
03,002,0014,Bahía Asunción,315A
03,002,0049,El Dátil,3338
03,002,0140,San Bruno,3287
03,003,0277,San Pedro,2642
03,003,0418,Buenos Aires,2784
03,003,0944,Melitón Albáñez Domínguez,2638
03,003,2515,Palo Blanco,2765
03,003,2530,Colonia 28 de Octubre (Kilómetro 6),2568
03,008,0048,Buenavista,052A
03,008,0708,Migriño,0727
04,001,0012,Santa Cruz Ex-Hacienda,0203
04,003,0031,Santa Rita,1668
04,003,0058,Abelardo L. Rodríguez,2276
04,003,3420,Nueva Chontalpa,2740
04,003,3430,Ojo de Agua,2774
04,004,0012,Profesor Graciano Sánchez,1275
04,004,0043,Vicente Guerrero,1097
04,004,0082,Ulumal,110A
04,004,0130,Cañaveral,1171
04,004,1615,Lázaro Cárdenas,128A
04,004,1701,Dzitbalché Castellot,1186
04,005,0003,Chunkanán,0170
04,006,0800,Santa Rosa [Campo Menonita],0498
04,006,0882,Santa Fe Uno,052A
04,007,0169,Santa Cruz,0419
04,009,0108,Don Samuel,0358
04,009,0170,Guadalajara,0343
04,009,0255,El Lechugal,0254
04,009,0965,Adolfo López Mateos,0625
04,010,0064,Concepción,0132
04,010,0066,Constitución,0132
04,010,0100,Eugenio Echeverría Castellot (El Carrizal),0310
04,010,0154,Niños Héroes,0310
04,010,0191,Puebla de Morelia,0128
04,011,0212,Las Golondrinas,0271
04,011,0355,El Naranjo,0214
04,011,0381,La Olla,0144
04,011,0696,Primer Presidente de México (Guadalupe Victoria),0163
04,011,1499,Nuevo Relámpago,0106
05,004,0007,Artesillas,0163
05,004,0061,Los Lirios,0271
05,004,0082,El Poleo,0178
05,004,0863,La Soledad,0233
05,006,0044,Presa de Chaires,076A
05,006,0071,Soledad,0581
05,006,0273,Espinazo,090A
05,009,0003,Alamito,0761
05,009,0010,Buenavista de Arriba,0456
05,009,0021,Finisterre,0418
05,009,0036,Nuevo León,0761
05,009,0042,Saloña (Tres Norias),0437
05,009,0046,San José de la Niña,0441
05,009,0050,Santa María (Santa María de Arriba),0441
05,009,0053,Seis de Octubre (Santo Niño),0456
05,010,0002,La Cruz,0103
05,010,0287,Las Cruces [Fraccionamiento Campestre],0419
05,011,0027,Presa de Guadalupe (Guadalupe),044A
05,011,0038,Marte (Estación Marte),0331
05,011,0074,El Tejocote,044A
05,012,0021,Guadalupe,0343
05,014,0004,El Divisadero,0418
05,014,0009,Nueva Jarita,048A
05,014,0016,La Potasa,0422
05,014,0022,Santa María,0422
05,015,0003,Don Martín,0379
05,015,0138,"Don Martín [Club de Caza, Tiro y Pesca]",0364
05,017,0029,Maravillas,0072
05,017,0068,Corona,0335
05,017,0072,Las Palomas,0123
05,017,0149,Rancho de Afuera,0072
05,018,0101,Campestre las Higueras [Fraccionamiento],0277
05,020,0439,Nogalitos,0951
05,021,0002,Villa de Bucareli (La Villita),0198
05,021,0009,Nuevo Poblado de Sardinas,0179
05,023,0032,Las Eutimias,2818
05,024,0018,Santa Cecilia (La Cecilia),1592
05,024,0058,Notillas,1944
05,024,0060,Paila,1450
05,024,0076,La Requena (La Requena de Fátima),1408
05,024,0083,San Francisco del Progreso,1588
05,024,0085,San Isidro,1554
05,024,0102,Santa Isabel y Santa Rita,1520
05,024,0161,Providencia (Maravillas Uno),1408
05,024,0169,El Sacramento (Sacramento de la Jarosa),1431
05,026,0006,San Alberto,0122
05,026,0079,Mexiquito,0118
05,027,0079,Rancho Nuevo,119A
05,027,0290,San Ignacio,1077
05,027,0725,Valle de la Hacienda,119A
05,027,0726,Valle del Mimbre,1132
05,027,0728,Sector ll Vynmsa [Parque Industrial],1293
05,028,0005,Puente Negro,0786
05,030,0073,Agua Nueva,3276
05,030,0114,El Derramadero,3242
05,030,0209,San José de la Joya,052A
05,030,0210,San José del Alamito,3488
05,030,0214,San Juan de la Vaquería,3257
05,030,1144,Sector l Vynmsa [Parque Industrial],3191
05,030,1146,Alianza [Parque Industrial],3276
05,031,0113,Santa Gertrudis,0669
05,033,0003,Emiliano Zapata (Albia),0752
05,033,0048,Nuevo Mundo,0663
05,033,0063,Reynosa,1515
05,033,0084,San Miguel,1568
05,033,0095,Santa Eulalia,1553
05,033,0101,Santiago,0911
05,033,0107,Tacubaya,0860
05,033,0110,El Triángulo,1515
05,033,0231,Presa de Guadalupe (Vida Nueva),0752
05,035,0174,Nuevo Mieleras (La Tres),062A
05,035,0187,Ricardo Flores Magón,2147
05,036,0005,Buenavista,0468
05,036,0030,La Rosita,0504
05,036,0061,La Siete (Laguna Seca),0504
05,038,0025,La Maroma,0532
05,038,0041,San Fernando (Dávila),0513
06,001,0009,Cuyutlán,0039
06,001,0341,Colonia Flor de Coco,001A
06,007,0070,Punta de Agua de Camotlán,0117
06,007,0129,Francisco Villa,0117
06,009,0147,Tecolapa,0018
06,010,0301,Residencial Campestre Buenos Aires [Fraccionamiento],0061
07,001,0038,El Tumbador,0048
07,001,0159,Quince de Septiembre,0048
07,003,0007,Barrio Nuevo,0042
07,003,0012,Consuelo Ulapa,0038
07,003,0024,Mariano Matamoros,0061
07,003,0068,Jiquilpan (Estación Bonanza),0038
07,003,0093,Las Lauras,0061
07,003,0096,Las Mercedes,0061
07,003,0120,Veinte de Abril,0038
07,004,0032,La Laguna,0054
07,004,0047,Gabino Barrera (Pamala),004A
07,004,0147,Los Bambúes,0105
07,004,0167,El Nance,0054
07,004,0225,Morelia (Victórico Rodolfo Grajales),0035
07,006,0098,Nueva Victoria,003A
07,007,0034,San Vicente la Piedra,0018
07,007,0052,Benito Juárez,0041
07,008,0025,Salvador Urbina,0034
07,009,0046,La Gloria,0116
07,009,0093,Punta Flor,021A
07,009,0752,Eben Ezer,0099
07,009,0786,Jardines del Valle,0099
07,010,0004,El Cercadillo,0013
07,010,0012,Reforma,0013
07,011,0003,Chemic,0025
07,011,0017,San Juan Progreso,0025
07,012,0196,Unión Hidalgo,0037
07,012,0306,La Libertad,0056
07,012,0761,Independencia,0060
07,013,0007,Allende Esquipulas,002A
07,013,0123,Shashalpa,002A
07,013,0131,Agua Bendita,0087
07,014,0045,San Cayetano,0012
07,016,0121,Cuauhtémoc,006A
07,016,0299,Cuauhtemoc Quemado,0110
07,016,0300,Estación la Unión,0110
07,017,0071,Mérida,0226
07,017,0147,Triunfo de Madero,0137
07,017,0333,Monte de los Olivos (La Mona),0211
07,017,0352,Niños Héroes,0283
07,019,0026,Corrala,017A
07,019,0088,El Prado,017A
07,019,0151,Santa Rita Uninajab,0199
07,022,0005,Joltealal,0014
07,022,0032,Tzomoltón,0029
07,023,0008,Bautista Chico,0026
07,023,0012,Callejón,0026
07,023,0020,Chicumtantic,0030
07,023,0024,Epalchén,0026
07,023,0026,Ichintón,0026
07,023,0041,Las Ollas,0030
07,023,0048,Pozuelos,0030
07,023,0054,Saclamantón,0030
07,023,0065,La Ventana,0026
07,023,0089,Bautista Grande,0011
07,023,0107,Va'Alch'En,0030
07,023,0112,Rasién,0030
07,023,0115,Ch'Ultic,0030
07,023,0127,Bashequen,0030
07,025,0026,San Miguel Buenavista,0020
07,027,0017,Carrillo Puerto,0078
07,027,0023,Ribera Cupía (La Mesa),0078
07,027,0028,Emiliano Zapata Uno,0078
07,027,0056,Ribera de Monte Rico (Nacamucuyi),0059
07,027,0063,Nucatili,0059
07,027,0608,Veintiséis de Octubre,0078
07,030,0177,Piedra Labrada,0105
07,030,0243,Vado Ancho,011A
07,030,0339,Nuevo Portal,0073
07,031,0062,Centro Chich,0047
07,031,0097,Jol Cacualá,0121
07,031,0139,Guadalupe Paxilá,0155
07,031,0272,El Piñal,0032
