ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,011,200
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,012,152
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,013,122
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,014,108
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,015,99
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,016,128
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,017,170
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,018,100
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,019,450
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,020,96
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,021,135
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,022,93
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,023,41
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,024,390
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,025,0
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,026,52
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,027,367
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,030,114
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,031,76
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,032,72
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,033,102
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1213,034,105
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1251,006,152
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1251,007,60
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1251,008,158
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1251,009,4
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1251,010,81
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1251,011,40
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1251,012,91
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1251,013,175
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1251,014,0
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1251,015,89
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1251,016,78
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1251,017,45
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1251,019,239
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1251,020,136
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1251,021,173
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1251,024,29
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1251,025,68
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1251,026,73
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1251,027,107
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1266,000,2811
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,001,102
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,002,60
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,003,77
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,004,81
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,005,96
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,006,33
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,007,34
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,008,96
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,009,92
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,010,82
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,011,75
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,012,79
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,013,96
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,014,85
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,015,64
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,016,118
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,017,1
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,018,171
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,019,29
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,020,43
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,021,211
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,022,107
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,1266,023,85
